Timestamp,CPU Usage (%),RAM Usage (%),GPU Usage (%),VRAM Usage (%),GPU Power (W)
2025-08-15 10:38:28.589,8.10,7.90,0.00,0.85,8.25
2025-08-15 10:38:29.594,0.30,7.90,0.00,0.85,8.25
2025-08-15 10:38:30.597,2.70,8.20,0.00,0.92,57.72
2025-08-15 10:38:31.684,4.10,8.60,0.00,0.92,57.82
2025-08-15 10:38:32.706,3.50,9.00,0.00,2.06,54.79
2025-08-15 10:38:33.709,3.30,9.10,88.00,41.16,73.74
2025-08-15 10:38:34.714,2.80,9.10,15.00,55.24,72.77
2025-08-15 10:38:35.717,3.60,9.20,75.00,55.61,240.86
2025-08-15 10:38:36.720,3.60,9.20,71.00,55.61,234.49
2025-08-15 10:38:37.723,3.80,9.20,85.00,55.61,257.59
2025-08-15 10:38:38.727,4.00,9.20,83.00,55.61,248.30
2025-08-15 10:38:39.730,3.90,9.20,84.00,55.61,235.59
2025-08-15 10:38:40.732,4.10,9.20,85.00,55.61,246.85
2025-08-15 10:38:41.735,4.00,9.20,85.00,55.61,225.72
2025-08-15 10:38:42.741,4.00,9.20,85.00,55.61,243.31
2025-08-15 10:38:43.748,3.90,9.20,88.00,55.61,253.46
2025-08-15 10:38:44.751,4.00,9.20,88.00,55.61,218.47
2025-08-15 10:38:45.763,4.10,9.20,87.00,55.61,246.66
2025-08-15 10:38:46.775,4.10,9.20,88.00,55.61,237.43
2025-08-15 10:38:47.786,3.90,9.20,88.00,55.61,216.11
2025-08-15 10:38:48.791,4.10,9.20,87.00,55.61,255.07
2025-08-15 10:38:49.794,3.90,9.20,88.00,55.61,247.91
2025-08-15 10:38:50.797,3.70,9.20,59.00,55.61,77.49
2025-08-15 10:38:51.801,4.20,9.20,100.00,55.61,244.16
2025-08-15 10:38:52.811,3.80,9.20,87.00,55.61,227.63
2025-08-15 10:38:53.819,3.70,9.20,87.00,55.61,252.43
2025-08-15 10:38:54.822,3.60,9.20,88.00,55.61,215.70
2025-08-15 10:38:55.826,3.70,9.20,76.00,55.61,239.88
2025-08-15 10:38:56.833,3.70,9.20,83.00,55.61,227.57
2025-08-15 10:38:57.836,4.00,9.20,100.00,55.61,206.83
2025-08-15 10:38:58.839,4.00,9.20,88.00,55.61,246.79
2025-08-15 10:38:59.843,4.00,9.20,87.00,55.61,254.80
2025-08-15 10:39:00.852,4.10,9.20,90.00,55.61,225.88
2025-08-15 10:39:01.863,4.40,9.20,88.00,55.61,217.26
2025-08-15 10:39:02.866,3.60,9.20,100.00,55.61,232.84
2025-08-15 10:39:03.883,4.00,9.20,87.00,55.61,256.26
2025-08-15 10:39:04.888,4.10,9.20,88.00,55.61,244.60
2025-08-15 10:39:05.891,3.90,9.20,88.00,55.61,221.14
2025-08-15 10:39:06.900,5.10,9.20,79.00,55.61,232.91
2025-08-15 10:39:07.905,3.80,9.20,89.00,55.61,239.25
2025-08-15 10:39:08.910,3.60,9.20,87.00,55.61,240.20
2025-08-15 10:39:09.912,3.70,9.20,87.00,55.61,234.21
2025-08-15 10:39:10.914,3.60,9.20,88.00,55.61,222.52
2025-08-15 10:39:11.917,3.70,8.20,3.00,0.85,86.62
2025-08-15 10:39:12.919,3.10,8.30,4.00,0.92,81.79
2025-08-15 10:39:13.978,3.60,8.80,0.00,0.92,81.50
2025-08-15 10:39:15.014,3.50,9.30,0.00,2.06,58.93
2025-08-15 10:39:16.023,3.30,9.30,91.00,47.48,79.16
2025-08-15 10:39:17.032,3.50,9.30,29.00,56.57,92.06
2025-08-15 10:39:18.042,3.10,9.40,100.00,61.93,242.34
2025-08-15 10:39:19.048,4.20,9.50,89.00,61.93,249.80
2025-08-15 10:39:20.056,4.00,9.50,80.00,61.93,189.39
2025-08-15 10:39:21.066,3.90,9.50,89.00,61.93,237.50
2025-08-15 10:39:22.068,4.10,9.50,78.00,61.93,233.36
2025-08-15 10:39:23.072,4.20,9.50,81.00,61.93,259.08
2025-08-15 10:39:24.083,3.90,9.50,100.00,61.93,238.35
2025-08-15 10:39:25.104,3.90,9.50,100.00,61.93,260.49
2025-08-15 10:39:26.113,4.00,9.50,100.00,61.93,245.75
2025-08-15 10:39:27.118,4.30,9.50,76.00,61.93,248.90
2025-08-15 10:39:28.146,3.90,9.50,88.00,61.93,237.46
2025-08-15 10:39:29.154,3.70,9.50,88.00,61.93,261.44
2025-08-15 10:39:30.164,3.90,9.50,78.00,61.93,218.41
2025-08-15 10:39:31.169,3.90,9.50,88.00,61.93,230.10
2025-08-15 10:39:32.174,4.00,9.50,82.00,61.93,238.88
2025-08-15 10:39:33.180,4.00,9.50,88.00,61.93,241.79
2025-08-15 10:39:34.183,4.00,9.50,87.00,61.93,243.69
2025-08-15 10:39:35.194,3.90,9.50,88.00,61.93,237.93
2025-08-15 10:39:36.199,4.00,9.50,88.00,61.93,250.74
2025-08-15 10:39:37.202,4.20,9.50,89.00,61.93,229.41
2025-08-15 10:39:38.205,3.90,9.50,88.00,61.93,245.47
2025-08-15 10:39:39.208,4.00,9.50,90.00,61.93,245.95
2025-08-15 10:39:40.215,4.00,9.50,76.00,61.93,241.57
2025-08-15 10:39:41.221,4.00,9.50,89.00,61.93,245.94
2025-08-15 10:39:42.225,3.90,9.50,90.00,61.93,242.18
2025-08-15 10:39:43.229,4.20,9.50,90.00,61.93,239.58
2025-08-15 10:39:44.235,4.20,9.50,90.00,61.93,259.70
2025-08-15 10:39:45.257,4.20,9.50,90.00,61.93,243.56
2025-08-15 10:39:46.263,4.20,9.50,91.00,61.93,249.67
2025-08-15 10:39:47.267,4.10,9.50,90.00,61.93,237.04
2025-08-15 10:39:48.272,4.10,9.50,91.00,61.93,226.36
2025-08-15 10:39:49.275,4.10,9.50,90.00,61.93,225.88
2025-08-15 10:39:50.283,4.20,9.50,92.00,61.93,235.27
2025-08-15 10:39:51.293,4.10,9.50,90.00,61.93,222.11
2025-08-15 10:39:52.297,4.10,9.50,89.00,61.93,262.98
2025-08-15 10:39:53.301,4.10,9.50,90.00,61.93,255.47
2025-08-15 10:39:54.304,4.10,9.50,91.00,61.93,237.17
2025-08-15 10:39:55.307,4.10,9.50,92.00,61.93,231.49
2025-08-15 10:39:56.311,4.20,9.50,90.00,61.93,232.76
2025-08-15 10:39:57.320,4.00,9.50,90.00,61.93,236.88
2025-08-15 10:39:58.329,4.10,9.50,90.00,61.93,265.16
2025-08-15 10:39:59.332,4.10,9.50,90.00,61.93,223.89
2025-08-15 10:40:00.344,4.10,9.50,89.00,61.93,252.53
2025-08-15 10:40:01.348,4.00,9.50,90.00,61.93,249.98
2025-08-15 10:40:02.355,4.30,9.50,90.00,61.93,227.84
2025-08-15 10:40:03.358,4.00,9.50,90.00,61.93,247.31
2025-08-15 10:40:04.363,4.00,9.50,91.00,61.93,235.90
2025-08-15 10:40:05.369,4.20,9.50,90.00,61.93,233.72
2025-08-15 10:40:06.379,3.90,9.40,90.00,61.93,242.10
2025-08-15 10:40:07.390,4.10,9.40,91.00,61.93,234.17
2025-08-15 10:40:08.396,4.00,9.40,90.00,61.93,259.08
2025-08-15 10:40:09.428,4.10,9.40,90.00,61.93,232.09
2025-08-15 10:40:10.458,4.00,9.40,90.00,61.93,231.58
2025-08-15 10:40:11.466,4.00,9.40,91.00,61.93,216.31
2025-08-15 10:40:12.475,3.30,9.50,100.00,61.93,244.03
2025-08-15 10:40:13.489,4.00,9.50,100.00,61.93,253.61
2025-08-15 10:40:14.508,3.80,9.40,90.00,61.93,260.38
2025-08-15 10:40:15.513,4.20,9.40,90.00,61.93,227.71
2025-08-15 10:40:16.519,3.90,9.40,90.00,61.93,255.99
2025-08-15 10:40:17.522,4.20,9.40,77.00,61.93,232.68
2025-08-15 10:40:18.528,4.10,9.40,90.00,61.93,260.00
2025-08-15 10:40:19.532,4.00,9.40,90.00,61.93,251.65
2025-08-15 10:40:20.535,4.40,9.50,91.00,61.93,121.53
2025-08-15 10:40:21.551,3.90,9.50,87.00,61.93,246.38
